StartDate,EndDate,ResetDate,PaymentDate
1/4/2026,7/5/2026,12/31/2025,7/5/2026
7/5/2026,1/4/2027,7/1/2026,1/4/2027
1/4/2027,7/4/2027,12/31/2026,7/4/2027
7/4/2027,1/4/2028,6/30/2027,1/4/2028
1/4/2028,7/4/2028,1/2/2028,7/4/2028
7/4/2028,1/4/2029,7/2/2028,1/4/2029
1/4/2029,7/4/2029,1/2/2029,7/4/2029
7/4/2029,1/6/2030,7/2/2029,1/6/2030
1/6/2030,7/4/2030,1/2/2030,7/4/2030
7/4/2030,1/5/2031,7/2/2030,1/5/2031
1/5/2031,7/6/2031,1/1/2031,7/6/2031
7/6/2031,1/4/2032,7/2/2031,1/4/2032
1/4/2032,7/4/2032,12/31/2031,7/4/2032
7/4/2032,1/4/2033,6/30/2032,1/4/2033
